StateID,StateName
10,Alaska
20,Alabama
30,Arkansas
40,Arizona
50,California
60,Colorado
70,Connecticut
80,Delaware
90,Florida
100,Georgia
110,Hawaii
120,Iowa
130,Idaho
140,Illinois
150,Indiana
160,Kansas
170,Kentucky
180,Louisiana
190,Massachusetts
200,Maryland
210,Maine
220,Michigan
230,Minnesota
240,Missouri
250,Mississippi
260,Montana
270,North Carolina
280,North Dakota
290,Nebraska
300,New Hampshire
310,New Jersey
320,New Mexico
330,Nevada
340,New York
350,Ohio
360,Oklahoma
370,Oregon
380,Pennsylvania
390,Rhode Island
400,South Carolina
410,South Dakota
420,Tennessee
430,Texas
440,Utah
450,Virginia
460,Vermont
470,Washington
480,Wisconsin
490,West Virginia
500,Wyoming
